StockCode,description,current_price,recommended_price,price_change_gbp,price_change_pct,price_elasticity,num_orders,annual_revenue,total_revenue_lift,pricing_action,implementation_priority
22470,HEART OF WICKER LARGE,3.2822033898305087,3.774533898305085,0.49233050847457616,14.999999999999995,-0.0476615640059974,925,30139.410000000003,4533.3317580101675,Large Increase,High Volume
23355,HOT WATER BOTTLE KEEP CALM,5.267962732919255,6.058157142857143,0.7901944099378877,14.999999999999991,-0.0951692314497297,782,28842.55,4029.4618702447497,Large Increase,High Volume
22726,ALARM CLOCK BAKELIKE GREEN,4.5333000000000006,5.2132950000000005,0.6799949999999999,14.999999999999996,-0.0756179951428354,980,27196.53,3939.5616884093843,Large Increase,High Volume
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,5.860274261603376,6.739315400843882,0.8790411392405062,14.999999999999996,-0.064486767203048,470,23514.17,3900.0559311051848,Large Increase,Medium Volume
22722,SET OF 6 SPICE TINS PANTRY DESIGN,4.667202797202798,5.367283216783217,0.7000804195804191,14.999999999999988,-0.0712825733061513,834,24483.66,3758.843712988643,Large Increase,High Volume
22111,SCOTTIE DOG HOT WATER BOTTLE,5.79448798988622,6.6636611883691526,0.8691731984829323,14.999999999999988,-0.0687333279647129,771,24509.84,3663.2801072206576,Large Increase,High Volume
22502,PICNIC BASKET WICKER SMALL,10.27449893390192,11.815673773987207,1.5411748400852865,14.999999999999986,0.2018268546643727,463,51426.62,3599.0338765397696,Large Increase,Medium Volume
22138,BAKING SET 9 PIECE RETROSPOT ,5.3493136219640975,6.151710665258712,0.8023970432946141,14.999999999999991,-0.0966175671640756,934,24239.72,3513.0984972349165,Large Increase,High Volume
21621,VINTAGE UNION JACK BUNTING,9.442135523613963,10.858455852156057,1.4163203285420938,14.999999999999991,-0.0927640780056867,475,24542.83,3472.298728722723,Large Increase,Medium Volume
23344,JUMBO BAG 50'S CHRISTMAS ,2.413128415300547,2.7750976775956286,0.36196926229508186,14.999999999999995,-0.0584514033915327,716,23815.75,3421.310371663715,Large Increase,High Volume
21733,RED HANGING HEART T-LIGHT HOLDER,3.159052631578948,3.6329105263157895,0.4738578947368417,14.999999999999986,-0.0675788265359895,741,23228.74,3379.1245817689596,Large Increase,High Volume
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,2.30876404494382,2.6550786516853924,0.34631460674157255,14.999999999999982,-0.0454883487344095,262,18069.28,3314.981371747347,Large Increase,Medium Volume
20724,RED RETROSPOT CHARLOTTE BAG,1.1453486150907355,1.3171509073543457,0.1718022922636102,14.999999999999991,0.0827345761365586,1032,21776.79,3276.5815275820732,Large Increase,High Volume
84029E,RED WOOLLY HOTTIE WHITE HEART.,5.116546275395034,5.884028216704289,0.7674819413092546,14.999999999999988,-0.0726840021344694,429,22144.98,3267.0592211061175,Large Increase,Medium Volume
21479,WHITE SKULL HOT WATER BOTTLE ,4.98103313840156,5.728188109161793,0.7471549707602332,14.999999999999986,0.0526187671282211,499,20594.45,3008.6003214895954,Large Increase,Medium Volume
84879,ASSORTED COLOUR BIRD ORNAMENT,1.7222901276024176,1.8084046339825386,0.08611450638012097,5.000000000000005,-0.1105909265992897,1455,59094.93,2721.410591926038,Small Increase,High Volume
21485,RETROSPOT HEART HOT WATER BOTTLE,5.629412673879443,6.473824574961359,0.8444119010819158,14.999999999999988,-0.0864999586779779,623,17708.53,2607.994385819866,Large Increase,High Volume
20719,WOODLAND CHARLOTTE BAG,1.207452830188679,1.3885707547169808,0.18111792452830167,14.999999999999982,0.053634972805167,833,16759.75,2504.2647202088788,Large Increase,High Volume
23301,GARDENERS KNEELING PAD KEEP CALM ,1.9420626349892007,2.2333720302375806,0.29130939524837984,14.999999999999986,-0.0717079351640602,913,16357.05,2340.930475402814,Large Increase,High Volume
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5.196545842217484,5.976027718550106,0.7794818763326221,14.999999999999991,-0.0972065682963767,459,16164.04,2272.7366878175803,Large Increase,Medium Volume
23313,VINTAGE CHRISTMAS BUNTING,5.541380145278451,6.372587167070218,0.8312070217917675,15.0,-0.0749900098623476,401,15833.31,2225.408868877097,Large Increase,Medium Volume
20971,PINK BLUE FELT CRAFT TRINKET BOX,1.4184803001876172,1.6312523452157597,0.2127720450281425,14.999999999999996,-0.0738349264094029,522,13838.1,2111.9681333217145,Large Increase,High Volume
23298,SPOTTY BUNTING,5.517167381974249,5.793025751072962,0.27585836909871286,5.000000000000007,-0.1089235364442588,1146,43182.83,2043.3095095536332,Small Increase,High Volume
23343,JUMBO BAG VINTAGE CHRISTMAS ,2.4152965235173824,2.7775910020449897,0.3622944785276072,14.999999999999995,-0.072482086445915,476,13978.95,1978.8277726127715,Large Increase,Medium Volume
23077,DOUGHNUT LIP GLOSS ,1.3451594202898551,1.5469333333333333,0.20177391304347814,14.999999999999991,-0.0579904678445967,344,13720.77,1965.7088495324094,Large Increase,Medium Volume
21137,BLACK RECORD COVER FRAME,4.211899736147757,4.422494722955145,0.2105949868073882,5.000000000000009,-0.1898126029942765,375,40652.13,1958.6160541987745,Small Increase,Medium Volume
23284,DOORMAT KEEP CALM AND COME IN,8.774136054421769,9.212842857142858,0.4387068027210894,5.0000000000000115,-0.1818897613201535,728,38166.64,1943.3023581724997,Small Increase,High Volume
23108,SET OF 10 LED DOLLY LIGHTS,6.468746666666667,7.439058666666667,0.9703119999999998,14.999999999999996,-0.0865311123160417,372,13303.02,1940.7998921940837,Large Increase,Medium Volume
23203,JUMBO BAG DOILEY PATTERNS,2.27466773418735,2.3884011208967175,0.1137333867093675,5.0,-0.1528420568918357,1231,42067.78,1939.6970979251694,Small Increase,High Volume
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4.835060532687652,5.560319612590799,0.7252590799031475,14.999999999999996,-0.0471991427550182,405,13284.49,1921.3989271951116,Large Increase,Medium Volume
20723,STRAWBERRY CHARLOTTE BAG,1.2002876712328765,1.3803308219178079,0.18004315068493137,14.999999999999991,0.08934577578967,722,12552.4,1912.8091403098258,Large Increase,High Volume
22413,METAL SIGN TAKE IT OR LEAVE IT ,3.345584725536993,3.8474224343675414,0.5018377088305486,14.999999999999988,-0.0525135981718429,412,11104.79,1759.2865662849986,Large Increase,Medium Volume
22191,IVORY DINER WALL CLOCK,8.847411764705882,10.174523529411763,1.3271117647058812,14.999999999999988,-0.0678401580923021,415,11971.15,1745.4944732696442,Large Increase,Medium Volume
23300,GARDENERS KNEELING PAD CUP OF TEA ,1.906416558861578,2.1923790426908147,0.2859624838292367,15.000000000000002,-0.0836758179746284,758,11815.69,1743.739841666948,Large Increase,High Volume
22158,3 HEARTS HANGING DECORATION RUSTIC,3.3427301587301588,3.8441396825396823,0.5014095238095235,14.999999999999991,0.0408566043379423,303,11944.88,1743.5622764984084,Large Increase,Medium Volume
20725,LUNCH BAG RED RETROSPOT,2.127373040752351,2.2337416927899683,0.10636865203761747,4.9999999999999964,-0.1548614044683662,1565,36042.01,1718.1284738676006,Small Increase,High Volume
23581,JUMBO BAG PAISLEY PARK,2.253276353276353,2.591267806267806,0.33799145299145295,15.0,0.042286285739731,338,11613.03,1713.2299533402306,Large Increase,Medium Volume
22356,CHARLOTTE BAG PINK POLKADOT,1.2505013192612138,1.4380765171503958,0.18757519788918198,14.999999999999995,-0.0651829132214035,742,11420.29,1660.4872343379543,Large Increase,High Volume
23245,SET OF 3 REGENCY CAKE TINS,5.877074829931972,6.170928571428571,0.2938537414965987,5.000000000000002,-0.1255916901236325,873,31177.95,1611.7683777375357,Small Increase,High Volume
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,3.3641885441527446,3.532397971360382,0.16820942720763732,5.000000000000003,-0.1145612537666691,820,32873.340000000004,1541.0806480591596,Small Increase,High Volume
22112,CHOCOLATE HOT WATER BOTTLE,6.0649772727272735,6.368226136363638,0.30324886363636416,5.000000000000008,-0.1425492287471837,858,32866.18,1522.118204020975,Small Increase,High Volume
23582,VINTAGE DOILY JUMBO BAG RED ,2.212744360902256,2.544656015037594,0.3319116541353382,14.999999999999991,-0.0307279662445494,259,10233.45,1504.9728320082043,Large Increase,Medium Volume
21175,GIN + TONIC DIET METAL SIGN,2.7661735941320296,2.904482273838631,0.13830867970660154,5.000000000000003,-0.1026114344143135,809,27074.07,1496.850870528992,Small Increase,High Volume
48185,DOORMAT FAIRY CAKE,10.109565217391305,10.615043478260871,0.505478260869566,5.000000000000008,-0.177187169418817,365,23888.81,1485.613865856047,Small Increase,Medium Volume
22978,PANTRY ROLLING PIN,4.341757322175733,4.993020920502092,0.6512635983263593,14.999999999999986,-0.0698025987088529,238,9568.73,1479.6597601158762,Large Increase,Medium Volume
22699,ROSES REGENCY TEACUP AND SAUCER ,3.6548568790397047,3.83759972299169,0.18274284395198537,5.0000000000000036,-0.1786040074117292,1065,29095.27,1451.5530228509863,Small Increase,High Volume
22766,PHOTO FRAME CORNICE,3.209284332688588,3.690676982591876,0.4813926499032881,14.999999999999996,-0.0865109198284544,504,9843.59,1404.681128218347,Large Increase,High Volume
22457,NATURAL SLATE HEART CHALKBOARD ,3.585977830562154,3.765276722090262,0.17929889152810796,5.000000000000007,-0.1581558642365474,1249,28147.960000000003,1363.7798704977386,Small Increase,High Volume
21915,RED  HARMONICA IN BOX ,1.4247826086956523,1.496021739130435,0.07123913043478258,4.999999999999997,-0.1197632096916765,662,26331.58,1361.036497110405,Small Increase,High Volume
48138,DOORMAT UNION FLAG,8.886322580645162,9.330638709677421,0.44431612903225925,5.000000000000012,-0.1834829507615047,616,25609.6,1349.9163444072988,Small Increase,High Volume
21155,RED RETROSPOT PEG BAG,3.1293306288032454,3.598730223123732,0.4693995943204867,14.999999999999996,-0.0743044865840987,485,9301.4,1342.3774476334274,Large Increase,Medium Volume
22666,RECIPE BOX PANTRY YELLOW DESIGN,3.7001865008880994,3.8851958259325046,0.18500932504440515,5.000000000000005,-0.1125286565868859,1111,26240.6,1337.0349417840123,Small Increase,High Volume
22147,FELTCRAFT BUTTERFLY HEARTS,1.637309236947791,1.8829056224899596,0.24559638554216856,14.999999999999995,-0.0911238456177471,481,8626.939999999999,1334.4536216043634,Large Increase,Medium Volume
23173,REGENCY TEAPOT ROSES ,11.10870588235294,11.664141176470586,0.5554352941176468,4.999999999999998,-0.1164337007798968,416,24918.93,1326.82536127938,Small Increase,Medium Volume
23201,JUMBO BAG ALPHABET,2.390556768558952,2.5100846069869,0.11952783842794767,5.000000000000003,-0.1778434539548032,906,27890.17,1294.737761720146,Small Increase,High Volume
23321,SMALL WHITE HEART OF WICKER,1.7467228177641652,2.00873124042879,0.26200842266462465,14.999999999999995,0.0622625340055472,629,8473.27,1275.6247490551923,Large Increase,High Volume
48194,DOORMAT HEARTS,9.241963087248322,9.70406124161074,0.4620981543624172,5.0000000000000115,-0.1863450933738331,592,22138.57,1271.042904844291,Small Increase,High Volume
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3.4023991507431,3.572519108280255,0.17011995753715503,5.000000000000001,-0.1711439940104448,449,26463.83,1268.4055901392755,Small Increase,Medium Volume
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4.107846481876332,4.7240234541577815,0.6161769722814494,14.999999999999991,-0.088927588301527,449,9264.91,1268.3425511184798,Large Increase,Medium Volume
22961,JAM MAKING SET PRINTED,1.9029683490162532,1.998116766467066,0.09514841745081282,5.000000000000008,-0.1891397092129381,1162,25660.98,1252.8010393128925,Small Increase,High Volume
23439,HAND WARMER RED LOVE HEART,2.222752941176471,2.5561658823529414,0.3334129411764706,14.999999999999996,-0.0023726007917753,397,8941.61,1251.008747938362,Large Increase,Medium Volume
21770,OPEN CLOSED METAL SIGN,5.52150895140665,6.3497352941176475,0.8282263427109973,14.999999999999995,-0.081237695603176,388,7938.780000000001,1231.9560090215532,Large Increase,Medium Volume
23493,VINTAGE DOILY TRAVEL SEWING KIT,2.1534418604651164,2.4764581395348837,0.32301627906976726,14.999999999999991,-0.0102736815294074,415,8509.68,1224.0260442443291,Large Increase,Medium Volume
21212,PACK OF 72 RETROSPOT CAKE CASES,0.7584306569343066,0.796352189781022,0.0379215328467154,5.000000000000009,-0.1134795710067293,1320,21259.1,1176.3715554473597,Small Increase,High Volume
21136,PAINTED METAL PEARS ASSORTED,1.805078947368421,2.075840789473684,0.2707618421052631,14.999999999999996,-0.0661876237740844,370,7830.32,1153.825020657153,Large Increase,Medium Volume
22637,PIGGY BANK RETROSPOT ,3.107627627627628,3.573771771771772,0.46614414414414407,14.999999999999996,-0.0891974024568738,329,7121.38,1152.0383192299525,Large Increase,Medium Volume
22728,ALARM CLOCK BAKELIKE PINK,4.577742749054225,4.806629886506936,0.22888713745271172,5.000000000000011,-0.1034053231768683,783,20702.15,1084.1538012406747,Small Increase,High Volume
85066,CREAM SWEETHEART MINI CHEST,14.293402646502836,15.008072778827978,0.7146701323251428,5.000000000000006,-0.1367666993981842,519,22708.95,1081.5978651816572,Small Increase,High Volume
23007, SPACEBOY BABY GIFT SET,15.919027027027028,18.30688108108108,2.3878540540540527,14.999999999999991,-0.0852245943847817,184,7758.7,1077.5185632961434,Large Increase,Medium Volume
22630,DOLLY GIRL LUNCH BOX,2.3258323765786453,2.4421239954075777,0.11629161882893246,5.000000000000009,-0.19285981991999,850,21635.14,1075.1378661684264,Small Increase,High Volume
22383,LUNCH BAG SUKI  DESIGN ,2.160392156862745,2.268411764705882,0.10801960784313724,5.0,-0.1859127449345382,1284,22542.44,1063.9562604474906,Small Increase,High Volume
21843,RED RETROSPOT CAKE STAND,12.604501845018447,13.23472693726937,0.6302250922509227,5.000000000000003,-0.1578421932518894,539,21365.25,1058.3702297566579,Small Increase,High Volume
20727,LUNCH BAG  BLACK SKULL.,2.09847891566265,2.203402861445783,0.10492394578313258,5.000000000000003,-0.1464806245007005,1273,22421.21,1046.9745846037074,Small Increase,High Volume
20728,LUNCH BAG CARS BLUE,2.059352640545145,2.1623202725724022,0.10296763202725723,4.999999999999999,-0.1267367024899514,1150,21750.63,1037.599979286108,Small Increase,High Volume
22508,DOORSTOP RETROSPOT HEART,4.553733333333333,5.236793333333332,0.6830599999999993,14.999999999999988,-0.0372246726854091,296,6544.63,1034.7779835491444,Large Increase,Medium Volume
23206,LUNCH BAG APPLE DESIGN,2.052082166199813,2.1546862745098037,0.10260410830999067,5.000000000000001,-0.1688308378148491,1036,20911.98,1000.8677152576965,Small Increase,High Volume
22501,PICNIC BASKET WICKER LARGE,14.381677852348991,15.10076174496644,0.7190838926174496,5.0,-0.1279887815728751,445,19322.16,998.1416266639797,Small Increase,Medium Volume
22969,HOMEMADE JAM SCENTED CANDLES,1.7919783616692428,1.881577279752705,0.08959891808346221,5.0000000000000036,-0.1121324352799712,646,18788.55,992.6644238767211,Small Increase,High Volume
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1.4859344262295082,1.5602311475409838,0.07429672131147558,5.0000000000000115,-0.1826963553042958,305,17927.45,981.9653424393515,Small Increase,Medium Volume
21166,COOK WITH WINE METAL SIGN ,2.386089918256131,2.5053944141689373,0.11930449591280645,4.9999999999999964,-0.1904540857260884,723,20957.64,981.375694371399,Small Increase,High Volume
22979,PANTRY WASHING UP BRUSH,1.811820512820513,2.0835935897435895,0.2717730769230766,14.999999999999982,-0.0959322151033698,381,6401.969999999999,976.692320291425,Large Increase,Medium Volume
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,3.270403361344538,3.4339235294117647,0.1635201680672269,5.000000000000001,-0.106856158954728,581,19130.370000000003,973.893371165282,Small Increase,High Volume
23571,TRADITIONAL NAUGHTS & CROSSES,1.886716417910448,2.169723880597015,0.28300746268656707,14.999999999999991,0.21395913513765,257,6436.61,956.4785571087361,Large Increase,Medium Volume
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,4.406066945606694,4.626370292887029,0.22030334728033463,4.999999999999998,-0.1514703749428273,473,19736.5,940.8063925335648,Small Increase,Medium Volume
23209,LUNCH BAG DOILEY PATTERN ,1.8233570792520035,1.9145249332146037,0.09116785396260019,5.0,-0.1980534643354232,1098,21450.17,938.2269852421599,Small Increase,High Volume
22783,SET 3 WICKER OVAL BASKETS W LIDS,14.623939393939391,16.8175303030303,2.193590909090908,14.999999999999995,-0.0945320226481069,33,5961.25,913.4339072849987,Large Increase,Low Volume
23188,VINTAGE  2 METER FOLDING RULER,1.93330383480826,2.2232994100294987,0.28999557522123864,14.99999999999998,-0.0789042060836121,333,6451.07,906.14410237006,Large Increase,Medium Volume
22379,RECYCLING BAG RETROSPOT ,3.181827814569537,3.3409192052980137,0.15909139072847678,4.999999999999998,-0.1794243325923303,748,15636.99,889.7807342131391,Small Increase,High Volume
20726,LUNCH BAG WOODLAND,2.1762247838616715,2.2850360230547553,0.10881123919308378,5.000000000000009,-0.1603404799493832,1017,18323.38,883.1127897099917,Small Increase,High Volume
22835,HOT WATER BOTTLE I AM SO POORLY,5.870624071322437,6.164155274888559,0.29353120356612195,5.000000000000002,-0.1238946796162668,657,18055.11,869.4969831677472,Small Increase,High Volume
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1.7722408963585432,2.0380770308123246,0.2658361344537814,14.999999999999996,-0.0401427148465972,345,6142.29,868.6985706140872,Large Increase,Medium Volume
22382,LUNCH BAG SPACEBOY DESIGN ,2.008473282442748,2.1088969465648852,0.10042366412213743,5.000000000000003,-0.1550341833929176,1157,18092.36,868.0357945906168,Small Increase,High Volume
82583,HOT BATHS METAL SIGN,2.939605055292259,3.086585308056872,0.1469802527646129,4.999999999999998,-0.1700899842439595,609,17047.06,853.822893872068,Small Increase,High Volume
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3.284795127353267,3.4490348837209304,0.16423975636766341,5.000000000000003,-0.1678585043127735,880,18390.2,845.1903133034205,Small Increase,High Volume
23503,PLAYING CARDS KEEP CALM & CARRY ON,1.2790434782608695,1.4708999999999999,0.19185652173913037,14.999999999999996,0.2243177471897279,335,4864.3,845.0787517047265,Large Increase,Medium Volume
22865,HAND WARMER OWL DESIGN,2.3551775147929,2.472936390532545,0.11775887573964505,5.000000000000002,-0.1438323970072098,654,17910.030000000002,825.9711273201207,Small Increase,High Volume
23154,SET OF 4 JAM JAR MAGNETS,2.2028915662650603,2.5333253012048194,0.330433734939759,15.0,-0.0410607152862462,235,5907.360000000001,814.6107355513332,Large Increase,Medium Volume
22349,DOG BOWL CHASING BALL DESIGN,4.126992481203008,4.7460413533834584,0.6190488721804508,14.999999999999991,-0.0253738669126539,131,5389.02,811.4858790460073,Large Increase,Medium Volume
22507,MEMO BOARD RETROSPOT  DESIGN,6.295599128540305,6.61037908496732,0.3147799564270155,5.000000000000004,-0.1317360997282547,459,14193.35,806.3883177976949,Small Increase,Medium Volume
21098,CHRISTMAS TOILET ROLL,1.6802602230483272,1.932299256505576,0.2520390334572489,14.999999999999988,-0.085655833524666,248,5093.76,787.8520131824389,Large Increase,Medium Volume
23494,VINTAGE DOILY DELUXE SEWING KIT ,6.8045673076923086,7.825252403846155,1.020685096153846,14.999999999999996,-0.0559412776550973,205,5377.81,769.0165171183445,Large Increase,Medium Volume
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.7425056179775281,0.7796308988764046,0.037125280898876456,5.000000000000006,-0.1480167422238918,869,12245.02,764.7982391197093,Small Increase,High Volume
23240,SET OF 4 KNICK KNACK TINS DOILEY ,4.443345454545455,4.665512727272728,0.22216727272727255,4.999999999999995,-0.1583702685295806,536,17037.52,759.8223014193014,Small Increase,High Volume
23286,BLUE VINTAGE SPOT BEAKER,1.03009009009009,1.1846036036036034,0.1545135135135134,14.999999999999988,-0.0454222206549462,222,4747.62,742.1424062859945,Large Increase,Medium Volume
22993,SET OF 4 PANTRY JELLY MOULDS,1.4950907441016332,1.569845281306715,0.07475453720508174,5.000000000000005,-0.1957754570105311,1073,16507.23,738.2250605043587,Small Increase,High Volume
22900, SET 2 TEA TOWELS I LOVE LONDON ,3.723652802893309,3.909835443037975,0.1861826401446658,5.000000000000009,-0.1617678906902604,533,14975.93,736.9799869463739,Small Increase,High Volume
22624,IVORY KITCHEN SCALES,9.441473829201104,9.91354752066116,0.4720736914600554,5.000000000000002,-0.1710770974709564,711,16528.31,725.4593033448353,Small Increase,High Volume
22941,CHRISTMAS LIGHTS 10 REINDEER,9.953546325878596,10.451223642172527,0.49767731629393097,5.0000000000000115,-0.1229034821352037,311,13812.92,722.9953450146861,Small Increase,Medium Volume
22110,BIRD HOUSE HOT WATER BOTTLE,4.046262975778546,4.653202422145328,0.6069394463667814,14.999999999999986,0.0475055294536527,279,4914.69,722.4073764719363,Large Increase,Medium Volume
23285,PINK VINTAGE SPOT BEAKER,1.06703125,1.2270859375,0.16005468749999996,14.999999999999995,-0.0543955265432626,191,4572.41,720.9347079121831,Large Increase,Medium Volume
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,10.002823834196892,10.502965025906738,0.5001411917098455,5.000000000000009,-0.1940073611934762,382,13746.11,719.0311015996217,Small Increase,Medium Volume
23570,TRADITIONAL PICK UP STICKS GAME ,1.42679180887372,1.6408105802047779,0.21401877133105796,14.999999999999996,0.2498573194683551,276,4944.37,713.6617306417971,Large Increase,Medium Volume
48184,DOORMAT ENGLISH ROSE ,8.636699266503667,9.06853422982885,0.43183496332518345,5.000000000000001,-0.1826396572001071,407,14324.0,712.618913407182,Small Increase,Medium Volume
21135,VICTORIAN  METAL POSTCARD SPRING,1.8930054644808745,2.1769562841530057,0.2839508196721312,15.000000000000002,-0.0960564452662779,177,3207.69,707.6339777235172,Large Increase,Medium Volume
22084,PAPER CHAIN KIT EMPIRE,3.2706726457399102,3.434206278026906,0.1635336322869958,5.000000000000009,-0.1659362407942208,436,15122.97,689.0813404581422,Small Increase,Medium Volume
23288,GREEN VINTAGE SPOT BEAKER,1.0418817204301074,1.1981639784946234,0.156282258064516,14.999999999999991,-0.0388887800459406,185,4444.2300000000005,689.0435387145397,Large Increase,Medium Volume
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,4.257172619047619,4.47003125,0.21285863095238078,4.9999999999999964,-0.1392422922665848,335,14501.18,688.8782270276654,Small Increase,Medium Volume
23389,SPACEBOY MINI BACKPACK,4.523524590163935,5.202053278688524,0.6785286885245894,14.99999999999998,-0.0866321609534358,237,4780.54,671.2395550724757,Large Increase,Medium Volume
23207,LUNCH BAG ALPHABET DESIGN,1.986075619295958,2.085379400260756,0.09930378096479808,5.000000000000009,-0.1211633709682772,740,13360.2,659.0855314896193,Small Increase,High Volume
82552,WASHROOM METAL SIGN,1.6557681940700808,1.9041334231805929,0.24836522911051206,14.999999999999996,-0.0971756936693243,364,4680.63,658.9285601471595,Large Increase,Medium Volume
23174,REGENCY SUGAR BOWL GREEN,4.793138461538462,5.032795384615385,0.23965692307692343,5.000000000000007,-0.1033891889707358,322,12350.73,649.1694610198698,Small Increase,Medium Volume
22866,HAND WARMER SCOTTY DOG DESIGN,2.329172413793104,2.4456310344827594,0.1164586206896554,5.000000000000009,-0.1142929940004096,548,14410.62,644.5233069957654,Small Increase,High Volume
22149,FELTCRAFT 6 FLOWER FRIENDS,2.4514847942754923,2.574059033989267,0.12257423971377479,5.000000000000007,-0.1168920287241325,547,12373.88,641.9501660583476,Small Increase,High Volume
22867,HAND WARMER BIRD DESIGN,2.39762323943662,2.517504401408451,0.11988116197183096,4.999999999999998,-0.1483887075310384,554,14078.69,639.0327588759455,Small Increase,High Volume
22273,FELTCRAFT DOLL MOLLY,3.262041420118344,3.4251434911242615,0.16310207100591745,5.000000000000007,-0.1198007212365169,331,12016.34,632.7532477931104,Small Increase,Medium Volume
22551,PLASTERS IN TIN SPACEBOY,1.8615384615384611,1.9546153846153842,0.09307692307692306,5.0,-0.1381141563792225,673,13615.31,631.1493017624215,Small Increase,High Volume
22692,DOORMAT WELCOME TO OUR HOME,9.592089887640448,10.071694382022471,0.47960449438202346,5.0000000000000115,-0.1430411617359203,443,11555.56,621.3624093811426,Small Increase,Medium Volume
22350,ILLUSTRATED CAT BOWL ,3.13900826446281,3.6098595041322312,0.47085123966942133,14.999999999999995,-0.0596705412248523,120,3822.12,616.4912256731643,Large Increase,Medium Volume
22554,PLASTERS IN TIN WOODLAND ANIMALS,1.9077348066298343,2.003121546961326,0.09538674033149186,5.000000000000008,-0.1503550764041497,704,13344.77,613.4405116816961,Small Increase,High Volume
82600,NO SINGING METAL SIGN,2.548763636363636,2.676201818181818,0.127438181818182,5.000000000000008,-0.1916982675652986,545,12835.28,610.9763576247606,Small Increase,High Volume
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4.923755186721992,5.169942946058092,0.2461877593360997,5.000000000000002,-0.1856822868049528,477,11928.45,600.3762608710553,Small Increase,Medium Volume
23356,LOVE HOT WATER BOTTLE,6.19846,6.508383,0.3099230000000004,5.000000000000006,-0.1456877251511674,476,13494.97,599.2702170326246,Small Increase,Medium Volume
82494l,WOODEN FRAME ANTIQUE WHITE ,8.310655737704916,9.557254098360653,1.246598360655737,14.999999999999995,0.7195478044120269,61,2211.6,596.0373420367611,Large Increase,Low Volume
22117,METAL SIGN HER DINNER IS SERVED ,2.921263157894737,3.3594526315789475,0.43818947368421046,14.999999999999996,0.0060516734299018,95,3896.45,582.1623446633059,Large Increase,Low Volume
22568,FELTCRAFT CUSHION OWL,4.1569375,4.364784375,0.20784687500000043,5.000000000000011,-0.1546119399096591,470,12440.14,579.3254137054837,Small Increase,Medium Volume
